id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName
30341,Men,Apparel,Topwear,Tshirts,Off White,Summer,2012.0,Casual,Myntra Men Fakebook Off White T-shirt
11750,Women,Apparel,Topwear,Tshirts,Black,Summer,2011.0,Casual,Lee Women Solid Black Tshirts
37450,Men,Accessories,Belts,Belts,Black,Summer,2012.0,Casual,Turtle Men Black Belt
57845,Unisex,Accessories,Bags,Handbags,Black,Summer,2012.0,Casual,Lino Perros Unisex Black Sling Bag
20557,Women,Accessories,Bags,Mobile Pouch,Brown,Winter,2015.0,Casual,Baggit Women Sawari Rose Brown Mobile Pouch
43494,Men,Apparel,Topwear,Tshirts,Blue,Summer,2012.0,Casual,French Connection Men Blue T-shirt
11567,Women,Apparel,Topwear,Kurtas,Purple,Summer,2011.0,Ethnic,W Women Printed Purple Kurtas
52023,Men,Apparel,Topwear,Jackets,Black,Summer,2012.0,Travel,Just Natural Unisex Black Photographers Jacket
18803,Men,Accessories,Belts,Belts,Brown,Summer,2011.0,Casual,Peter England Men Casual Brown Belt
58439,Women,Apparel,Dress,Dresses,Black,Summer,2012.0,Casual,AND by Anita Dongre Women Black Dress
44376,Women,Apparel,Topwear,Waistcoat,Blue,Summer,2012.0,Casual,ONLY Women Blue Waistcoat
19194,Men,Apparel,Topwear,Shirts,White,Fall,2011.0,Casual,United Colors of Benetton Men Solid White Shirt
30845,Women,Apparel,Topwear,Kurtas,Red,Summer,2012.0,Ethnic,Fabindia Women Rust Printed Kurta
39974,Men,Footwear,Shoes,Casual Shoes,Brown,Winter,2014.0,Casual,Gas Men Brown Lear Shoes
52962,Women,Apparel,Saree,Sarees,Purple,Fall,2012.0,Ethnic,FNF Printed Purple Sari
45390,Women,Footwear,Shoes,Flats,White,Winter,2012.0,Casual,Rocia Women White Flats
39207,Women,Footwear,Shoes,Heels,Black,Winter,2015.0,Casual,Catwalk Women Black Sandals
38952,Boys,Apparel,Topwear,Tshirts,Navy Blue,Summer,2012.0,Casual,Gini and Jony Boys Pack of 2 T-shirts
21419,Women,Apparel,Topwear,Tops,Yellow,Winter,2012.0,Casual,Roxy Women Yellow Top
15705,Men,Apparel,Bottomwear,Track Pants,Black,Fall,2011.0,Sports,Nike Men Tennis Black Track Pants
53328,Men,Apparel,Innerwear,Boxers,Multi,Summer,2016.0,Casual,Smugglerz Men Multi Coloured Check Boxers
27278,Women,Apparel,Topwear,Kurtas,Brown,Fall,2011.0,Ethnic,Mother Earth Women Beige Kurta
47543,Women,Footwear,Shoes,Flats,Beige,Winter,2012.0,Casual,Portia Women Beige Flats
10810,Men,Apparel,Topwear,Shirts,Blue,Fall,2011.0,Casual,Wrangler Men Mark Rodeo Riveted Blue Shirts
51359,Women,Apparel,Bottomwear,Capris,Blue,Summer,2012.0,Casual,Spykar Women Blue Washed Capri
52817,Women,Accessories,Jewellery,Earrings,Red,Fall,2012.0,Casual,Adrika Red Earrings
52776,Women,Accessories,Wallets,Wallets,Red,Fall,2012.0,Casual,Fiorelli Women Red Wallet
14338,Men,Footwear,Shoes,Sports Shoes,Blue,Fall,2011.0,Sports,Nike Men Dunk High Blue Sports Shoes
39370,Women,Accessories,Watches,Watches,Silver,Winter,2016.0,Casual,Helix Women Silver Dial Watch
24116,Men,Footwear,Flip Flops,Flip Flops,Red,Fall,2012.0,Casual,Playboy Men Red Casual Flip Flops
41842,Women,Footwear,Shoes,Sports Shoes,Pink,Summer,2012.0,Sports,Skechers Women Pink Sports Shoes
55147,Women,Personal Care,Nails,Nail Polish,Maroon,Spring,2017.0,Casual,Lakme True Wear Freespirit Nail Polish D417
26996,Women,Apparel,Bottomwear,Jeans,Black,Summer,2012.0,Casual,Jealous 21 Women Washed Black Jeans
15268,Women,Footwear,Shoes,Casual Shoes,Purple,Fall,2011.0,Casual,ADIDAS Originals Women Rekapi Purple Casual Shoes
12183,Men,Apparel,Topwear,Shirts,White,Fall,2011.0,Casual,Basics Men White Slim Fit Checked Shirt
38850,Women,Apparel,Topwear,Tops,Pink,Fall,2012.0,Casual,Latin Quarters Women Pink Top
16174,Men,Footwear,Sandal,Sandals,Brown,Fall,2011.0,Casual,Enroute Men Leather Brown Sandals
29979,Women,Accessories,Watches,Watches,White,Winter,2016.0,Casual,Aspen Women Mother Of Pearl Dial Watch
55436,Women,Personal Care,Lips,Lipstick,Pink,Spring,2017.0,Casual,Revlon Raspberry Colorburst Lipstick 045
6162,Men,Apparel,Topwear,Tshirts,Blue,Summer,2011.0,Casual,Lee Men's Saddle Indigo Quarts T-shirt
14546,Women,Apparel,Topwear,Kurtas,Maroon,Fall,2011.0,Ethnic,Vishudh Women Maroon Printed Kurta
39749,Boys,Apparel,Bottomwear,Shorts,Beige,Summer,2012.0,Casual,Gini Jony Boys Beige Shorts
19723,Men,Apparel,Topwear,Shirts,Grey,Fall,2011.0,Casual,United Colors of Benetton Men Solid Grey Shirt
38208,Women,Accessories,Eyewear,Sunglasses,Grey,Winter,2016.0,Casual,Polaroid Women Sunglasses
40750,Women,Footwear,Flip Flops,Flip Flops,Red,Winter,2012.0,Casual,Roxy Women Red Flip Flops
50638,Men,Apparel,Innerwear,Innerwear Vests,White,Summer,2016.0,Casual,Chromozome Men White Innerwear Vest
33213,Women,Apparel,Topwear,Tops,Magenta,Summer,2012.0,Casual,Sepia Women Printed Magenta Top
45283,Women,Accessories,Wallets,Wallets,White,Summer,2012.0,Casual,Lino Perros Women White Wallet
46748,Men,Apparel,Bottomwear,Track Pants,Grey,Summer,2012.0,Sports,Nike Men Grey Track Pants
11777,Men,Apparel,Topwear,Tshirts,Red,Fall,2011.0,Casual,Lee Men Printed Red Tshirts
57433,Women,Apparel,Topwear,Tshirts,Pink,Summer,2015.0,Casual,Angry Birds Women Pink T-shirt
7126,Women,Apparel,Bottomwear,Track Pants,Grey,Fall,2011.0,Casual,Urban Yoga Women Bottom Grey Track Pant
13122,Men,Footwear,Sandal,Sandals,Brown,Fall,2011.0,Casual,Lee Cooper Men Brown Sandals
42220,Women,Apparel,Topwear,Tunics,Teal,Summer,2012.0,Casual,Sepia Women Teal Tunic
13580,Men,Apparel,Innerwear,Innerwear Vests,White,Summer,2016.0,Casual,Hanes Men Pack of 2 Half Contrast Piping Ringer T-shirts
46951,Women,Personal Care,Fragrance,Perfume and Body Mist,Yellow,Spring,2017.0,Casual,York Women Madonna Perfume
35665,Men,Footwear,Flip Flops,Flip Flops,White,Summer,2013.0,Casual,U.S. Polo Assn. Men White Flip Flops
28193,Men,Accessories,Eyewear,Sunglasses,Gold,Winter,2016.0,Casual,Ray-Ban Men Aviator Gold Sunglasses
47262,Men,Apparel,Innerwear,Briefs,White,Summer,2016.0,Casual,FCUK Underwear Men White & Black Brief
11072,Men,Apparel,Topwear,Shirts,Black,Fall,2011.0,Casual,Scullers Men Check Black Shirts
20267,Women,Footwear,Shoes,Heels,Black,Winter,2015.0,Casual,Catwalk Women Casual Black Heels
59073,Women,Apparel,Innerwear,Bra,Skin,Summer,2017.0,Casual,Peri Peri Women Skin Bra
9921,Women,Accessories,Bags,Handbags,White,Fall,2011.0,Casual,Puma Women Ferrari LS White Handbags
57088,Women,Apparel,Bottomwear,Skirts,Teal,Summer,2012.0,Casual,Elle Women Teal Skirt
50773,Men,Footwear,Shoes,Formal Shoes,Black,Summer,2016.0,Formal,Clarks Men Black Leather Formal Shoes
7000,Men,Apparel,Topwear,Tshirts,White,Summer,2011.0,Casual,Classic Polo Men's White With Green Grey Stripes T-shirt
30149,Men,Accessories,Belts,Belts,Olive,Summer,2012.0,Casual,Wrangler Men Dark Olive & Brown Belt
7211,Women,Apparel,Topwear,Tunics,Black,Fall,2011.0,Casual,Scullers For Her Women Layered Tunics Black Top
39510,Unisex,Accessories,Bags,Backpacks,Black,Summer,2012.0,Casual,Peter England Unisex Black Backpack
15193,Men,Apparel,Topwear,Tshirts,Navy Blue,Fall,2011.0,Casual,Arrow Sport Men Stripes Navy Blue Polo Tshirts
23955,Men,Apparel,Topwear,Shirts,Purple,Fall,2011.0,Casual,Provogue Men Purple Shirt
51508,Women,Apparel,Bottomwear,Jeans,Navy Blue,Summer,2012.0,Casual,Denizen Women Navy Blue Jeans
37146,Men,Apparel,Topwear,Shirts,White,Summer,2012.0,Casual,Wills Lifestyle Men White Mura Shirt
32415,Men,Apparel,Topwear,Tshirts,White,Summer,2012.0,Casual,ADIDAS Men Fly White T-shirt
17419,Women,Accessories,Watches,Watches,Black,Winter,2016.0,Casual,Casio Enticer Women Silver Analogue Watches (A378) LTP-2069D-1AVDF
14777,Men,Apparel,Topwear,Shirts,Brown,Fall,2011.0,Formal,Arrow Men Stripes Brown Shirts
14814,Women,Accessories,Bags,Handbags,Brown,Summer,2011.0,Casual,United Colors of Benetton Women Solid Brown Handbags
49663,Men,Accessories,Eyewear,Sunglasses,Black,Winter,2016.0,Casual,United Colors of Benetton Men Sunglass
40176,Men,Accessories,Eyewear,Sunglasses,Black,Winter,2016.0,Casual,Fastrack Men UV Protected Sporty Wrap Sunglasses
5368,Men,Footwear,Shoes,Sports Shoes,Red,All,2011.0,Sports,Kalenji Kiprun 1000 White Red Ss10
19701,Men,Apparel,Topwear,Shirts,Blue,Fall,2011.0,Casual,United Colors of Benetton Men Striped Blue Shirt
55875,Women,Personal Care,Nails,Nail Polish,Brown,Spring,2017.0,Casual,Colorbar High Tea 2 Nail Lacquer 77
39375,Women,Accessories,Watches,Watches,Silver,Winter,2016.0,Casual,Helix Women Silver Dial Watch
34728,Women,Accessories,Wallets,Wallets,Teal,Summer,2012.0,Casual,Baggit Women Oscar Taj Teal Wallet
45932,Men,Accessories,Watches,Watches,White,Winter,2016.0,Casual,Maxima Men White Dial Chronograph Watch
11827,Men,Footwear,Shoes,Casual Shoes,Blue,Summer,2012.0,Casual,Playboy Men Casual Blue Casual Shoes
34077,Men,Footwear,Shoes,Formal Shoes,Black,Fall,2012.0,Formal,Clarks Men Black Leather Formal Shoes
45996,Women,Apparel,Saree,Sarees,Cream,Summer,2012.0,Ethnic,Fabindia Cream-Coloured & Red Hand Printed Saree
21613,Women,Apparel,Innerwear,Bra,White,Summer,2014.0,Casual,Enamor Women Smooth White Bra
50174,Women,Footwear,Shoes,Flats,Purple,Winter,2012.0,Casual,Rocia Women Multi- Coloured Shoes
36401,Men,Accessories,Socks,Socks,Black,Summer,2016.0,Casual,Reid & Taylor Men Spots Black Socks
33497,Men,Apparel,Bottomwear,Shorts,Beige,Summer,2012.0,Casual,Doodle Kids Boy  Beige Shorts
51386,Men,Apparel,Innerwear,Boxers,Grey,Summer,2012.0,Casual,Myntra Grey Printed Boxers
52754,Women,Accessories,Bags,Handbags,Black,Fall,2012.0,Casual,Fiorelli Women Black and Taupe Leather Handbag
33826,Men,Footwear,Shoes,Sports Shoes,Black,Summer,2012.0,Sports,Puma Men Axis Black Sports Shoes
14351,Women,Footwear,Shoes,Heels,Brown,Winter,2015.0,Casual,Catwalk Women Casual Brown Heels
15214,Unisex,Accessories,Bags,Duffel Bag,Black,Summer,2011.0,Casual,United Colors of Benetton Unisex Black Duffle Bag
27608,Men,Apparel,Bottomwear,Trousers,Black,Summer,2012.0,Casual,Scullers Men Black Trousers
27793,Men,Accessories,Wallets,Wallets,Black,Winter,2015.0,Casual,Bulchee Men Black Wallet
45786,Women,Footwear,Shoes,Flats,Maroon,Fall,2012.0,Casual,Senorita Women Maroon Sandals
48065,Men,Apparel,Topwear,Shirts,Blue,Summer,2012.0,Casual,French Connection Men Blue Shirt
21156,Women,Apparel,Topwear,Shirts,Grey,Fall,2011.0,Casual,s.Oliver Women White Striped Shirt
40784,Men,Footwear,Flip Flops,Flip Flops,Blue,Summer,2012.0,Casual,Quiksilver Men Blue Flip Flops
13093,Men,Apparel,Topwear,Sweaters,Black,Fall,2011.0,Casual,ADIDAS Men Badge P/O Black Sweaters
39379,Men,Apparel,Bottomwear,Jeans,Navy Blue,Summer,2012.0,Casual,Peter England Men Navy Blue Party Jeans
33951,Men,Apparel,Topwear,Tshirts,Black,Summer,2012.0,Casual,ADIDAS Men Cinder Black T-shirt
24614,Men,Apparel,Bottomwear,Shorts,Grey,Fall,2011.0,Sports,Proline Grey Shorts
4948,Men,Apparel,Topwear,Tshirts,White,Summer,2011.0,Casual,Gini and Jony Boy's Kanon White Blue Infant Kidswear
16870,Women,Accessories,Eyewear,Sunglasses,Green,Winter,2016.0,Casual,Idee Women Funky Eyewear Green Sunglasses
43259,Women,Apparel,Topwear,Kurtas,Purple,Summer,2012.0,Ethnic,Aneri Women Purple Kurta
30558,Unisex,Accessories,Eyewear,Sunglasses,Brown,Winter,2016.0,Casual,Opium Unisex Brown Sunglasses
31151,Boys,Apparel,Topwear,Tshirts,Blue,Summer,2012.0,Casual,Gini and Jony Boys Printed Blue T-shirt
35080,Men,Accessories,Ties,Ties,Navy Blue,Summer,2012.0,Formal,Allen Solly Men Navy Blue Tie
10627,Men,Footwear,Shoes,Casual Shoes,Brown,Winter,2012.0,Casual,Carlton London Men Brown Slip-On Shoes
45590,Men,Footwear,Shoes,Formal Shoes,Black,Summer,2013.0,Formal,Arrow Men Black Formal Shoes
42861,Women,Accessories,Bags,Handbags,Beige,Summer,2012.0,Casual,French Connection Women Beige Straw Bag
45408,Women,Footwear,Shoes,Flats,Beige,Winter,2012.0,Casual,Rocia Women Beige & Brown Sandals
45901,Women,Accessories,Watches,Watches,Black,Winter,2016.0,Casual,Maxima Women Black Dial Watch
59471,Women,Accessories,Jewellery,Ring,Silver,Summer,2013.0,Casual,Lucera Silver Ring
3256,Men,Footwear,Shoes,Casual Shoes,Black,Fall,2010.0,Casual,Puma Men's Excurse Black Shoe
17258,Men,Apparel,Topwear,Tshirts,Blue,Fall,2011.0,Casual,U.S. Polo Assn. Men Solid Limoges Polo Tshirt
46095,Women,Footwear,Flip Flops,Flip Flops,Blue,Summer,2012.0,Casual,ADIDAS Women Blue Cherryanda Flip Flops
2355,Unisex,Sporting Goods,Sports Equipment,Footballs,White,Fall,2010.0,Sports,ADIDAS Red Bull Trophy Soccer Unisex Football
11393,Men,Apparel,Topwear,Tshirts,White,Fall,2011.0,Casual,United Colors of Benetton Men White Polo T-shirt
39714,Unisex,Accessories,Watches,Watches,Black,Winter,2016.0,Casual,ADIDAS Original Unisex Black Dial Chronograph Watch ADH2668
18735,Women,Apparel,Dress,Dresses,Purple,Fall,2011.0,Casual,Arrow Woman Rima Purple Dress
16772,Unisex,Accessories,Watches,Watches,Black,Winter,2016.0,Casual,ADIDAS Originals Unisex Black Dial Chronograph Watch ADH2571
8357,Boys,Apparel,Topwear,Tshirts,Green,Fall,2011.0,Casual,Doodle Boy's End Is Just Begining Green Kidswear
18386,Men,Apparel,Innerwear,Briefs,Blue,Summer,2016.0,Casual,Undercolors of Benetton Men Blue Tanga Brief
8860,Men,Apparel,Topwear,Shirts,Brown,Fall,2011.0,Casual,Mark Taylor Men Brown Striped Shirt
14554,Men,Footwear,Shoes,Casual Shoes,Black,Spring,2012.0,Casual,Vans Men 106 Vulcanized CA Black Casual Shoes
40039,Men,Apparel,Topwear,Tshirts,White,Summer,2012.0,Casual,ADIDAS Men White T-shirt
7549,Men,Apparel,Bottomwear,Track Pants,Black,Summer,2011.0,Sports,Nike Men Essenti Black Track Pant
11758,Women,Apparel,Topwear,Tops,White,Summer,2011.0,Casual,Lee Women Solid White Tops
35476,Men,Footwear,Shoes,Formal Shoes,Black,Summer,2012.0,Formal,Bata Men Remo Black Formal Shoes
43503,Men,Apparel,Topwear,Tshirts,Green,Summer,2012.0,Casual,French Connection Men Green T-shirt
22679,Unisex,Accessories,Bags,Messenger Bag,Black,Winter,2015.0,Casual,Wildcraft Unisex Black Messenger Bag
42643,Women,Apparel,Topwear,Kurtas,Brown,Summer,2012.0,Ethnic,W Women Brown Kurta
22740,Women,Apparel,Topwear,Kurtas,Blue,Fall,2011.0,Ethnic,BIBA Women Printed Blue Kurta
36371,Men,Accessories,Ties,Ties,Cream,Summer,2012.0,Formal,Reid & Taylor Men Cream Tie
9369,Women,Accessories,Socks,Socks,Grey,Fall,2011.0,Casual,Puma Women Stripe Grey Socks
19804,Men,Apparel,Topwear,Tshirts,Blue,Fall,2011.0,Casual,U.S. Polo Assn. Men Solid Blue Tshirt
20408,Women,Accessories,Belts,Belts,Green,Winter,2015.0,Casual,Baggit Women Chotu Taj Green Belt
51899,Women,Accessories,Wallets,Wallets,Brown,Summer,2016.0,Casual,Nyk Women Brown Wallet
17293,Unisex,Accessories,Bags,Backpacks,Red,Fall,2011.0,Casual,Nike Unisex Backpack
31966,Men,Footwear,Shoes,Casual Shoes,White,Summer,2012.0,Casual,Nike Men Sweet Classic Leather White Shoes
47542,Women,Footwear,Shoes,Flats,Grey,Winter,2014.0,Casual,Portia Women Grey Flats
20733,Women,Footwear,Shoes,Heels,Grey,Summer,2012.0,Casual,Enroute Women Grey Heels
54508,Women,Accessories,Bags,Handbags,Black,Summer,2012.0,Casual,Lino Perros Women Black Handbag
25564,Men,Footwear,Shoes,Sports Shoes,White,Summer,2012.0,Sports,Fila Men Swift White Sports Shoes
56556,Women,Personal Care,Lips,Lip Gloss,Pink,Spring,2017.0,General,Streetwear Smooch Lip Gloss 42
49600,Women,Footwear,Shoes,Heels,White,Winter,2015.0,Casual,Catwalk Women White Flats
34372,Men,Apparel,Topwear,Tshirts,Black,Summer,2012.0,Casual,Myntra Men Black Banana Diet T-shirt
21484,Women,Accessories,Bags,Handbags,Grey,Winter,2015.0,Casual,Kiara Women Grey Shiny Handbag
34018,Boys,Apparel,Topwear,Tshirts,Black,Summer,2012.0,Casual,Gini and Jony Boys Black Printed T-shirt
5947,Men,Apparel,Topwear,Shirts,Black,Summer,2011.0,Casual,Locomotive Men Black Checked Shirt
11765,Men,Apparel,Topwear,Tshirts,White,Fall,2011.0,Casual,Lee Men Printed White Tshirts
40466,Men,Footwear,Shoes,Casual Shoes,White,Summer,2012.0,Casual,Fila Men Rockford White Shoes
48250,Boys,Apparel,Topwear,Tshirts,Red,Summer,2012.0,Casual,The Amazing Spiderman Boys Red T-Shirt
42096,Men,Apparel,Topwear,Tshirts,Grey,Summer,2012.0,Casual,ADIDAS Men Grey  Polo T-shirt
4972,Men,Apparel,Topwear,Shirts,Green,Summer,2011.0,Casual,Gini and Jony Boy's Kangaroo Green White Kidswear
56049,Women,Personal Care,Lips,Lipstick,Brown,Spring,2017.0,Casual,Colorbar Full Finish Longwear Wicked Brown Lipstick 02
58158,Women,Apparel,Topwear,Shrug,Maroon,Fall,2012.0,Casual,Latin Quarters Women Maroon Shrug
31104,Boys,Apparel,Topwear,Tshirts,Red,Summer,2012.0,Casual,Gini and Jony Boys Pack of 2 T-shirts
4780,Women,Apparel,Topwear,Tshirts,Pink,Summer,2011.0,Sports,ADIDAS Women's Balance Pink T-shirt
5329,Men,Footwear,Shoes,Sports Shoes,Blue,Fall,2011.0,Sports,FILA Men Speed Up Blue Sports Shoes
25232,Women,Accessories,Bags,Handbags,Blue,Winter,2015.0,Casual,Lino Perros Women Blue & Black Handbag
29056,Women,Apparel,Bottomwear,Track Pants,Grey,Summer,2012.0,Sports,ADIDAS Women Grey Track Pants
49624,Women,Footwear,Shoes,Heels,Blue,Winter,2015.0,Casual,Catwalk Women Blue Flats
12660,Men,Apparel,Topwear,Shirts,Pink,Fall,2011.0,Casual,Probase Men Stripes Pink Shirts
50503,Men,Apparel,Innerwear,Briefs,Grey Melange,Winter,2016.0,Casual,Chromozome Men Grey Striped Brief
18566,Women,Accessories,Wallets,Wallets,Black,Summer,2011.0,Casual,Puma Women Black Wallet
40451,Men,Footwear,Shoes,Formal Shoes,Black,Winter,2018.0,Formal,Red Tape Men Black Formal Shoes
5892,Women,Apparel,Topwear,Tops,White,Summer,2011.0,Casual,Puma Women Tank White Tops
15866,Unisex,Footwear,Shoes,Casual Shoes,Brown,Spring,2013.0,Casual,Warner Bros Kids Unisex SD Silly Shoe Brown Casual Shoes
16619,Men,Apparel,Topwear,Shirts,Blue,Fall,2011.0,Casual,Probase Men Check Navy Blue Shirt
57051,Women,Apparel,Dress,Dresses,Multi,Summer,2012.0,Casual,Elle Women Multi Coloured Dress
14809,Women,Accessories,Bags,Handbags,Grey,Summer,2011.0,Casual,United Colors of Benetton Women Solid DK.Grey Handbags
37161,Women,Apparel,Topwear,Tops,Black,Summer,2012.0,Casual,United Colors of Benetton Women Black Top
59642,Women,Apparel,Saree,Sarees,Black,Fall,2012.0,Ethnic,FNF Pink & Black Collection For Wedding Sari
58555,Men,Footwear,Shoes,Formal Shoes,Black,Fall,2012.0,Formal,Enroute Men Black Formal Shoes
40566,Women,Apparel,Topwear,Kurtas,Burgundy,Summer,2012.0,Ethnic,W Women Burgundy Kurta
3580,Men,Footwear,Shoes,Casual Shoes,Brown,Summer,2011.0,Casual,ADIDAS Men's Sand Black Red Shoe
37067,Women,Accessories,Bags,Handbags,Beige,Summer,2012.0,Casual,Lino Perros Women Beige Handbag
9150,Women,Apparel,Bottomwear,Jeans,Black,Summer,2013.0,Casual,Lee Black Maxi Super-Skinny Jeans
7138,Women,Apparel,Topwear,Tunics,Black,Fall,2011.0,Casual,Scullers For Her Women Lace Black Silver Tunics
42863,Women,Accessories,Bags,Clutches,Brown,Summer,2012.0,Casual,
27449,Women,Apparel,Innerwear,Bra,Pink,Winter,2015.0,Casual,Jockey Essence Pink Full-Coverage Slim Fit Bra 1615-0105
54573,Women,Apparel,Topwear,Kurtas,Coffee Brown,Summer,2012.0,Ethnic,Sushilas Women Coffee Brown Kurta
44194,Women,Footwear,Flip Flops,Flip Flops,Gold,Winter,2012.0,Casual,iPanema Women Gold Flip Flops
48769,Women,Accessories,Jewellery,Jewellery Set,White,Summer,2012.0,Casual,Miki Pearl Women Ivory Jewellery Set
17802,Women,Apparel,Topwear,Tshirts,Pink,Fall,2011.0,Casual,Chhota Bheem Kids Girl On The Move Pink Tshirt
46266,Women,Apparel,Topwear,Tunics,Blue,Summer,2012.0,Casual,109F Women Blue & Grey Printed Tunic
10996,Men,Apparel,Topwear,Tshirts,Brown,Fall,2011.0,Casual,Inkfruit Men Too Drunk Brown Tshirts
23911,Men,Footwear,Shoes,Casual Shoes,Black,Fall,2011.0,Casual,Fila Men Terrindalo Black Casual Shoes
12542,Women,Apparel,Topwear,Tshirts,Blue,Fall,2011.0,Casual,Tantra Women Blue Printed T-shirt
46679,Women,Personal Care,Fragrance,Perfume and Body Mist,Peach,Spring,2017.0,Casual,Rasasi Women Pack of 3 Perfumes
40144,Girls,Apparel,Topwear,Tops,Pink,Summer,2012.0,Casual,Gini and Jony Girls Pretty Blossom Pink Top
19581,Men,Apparel,Topwear,Tshirts,White,Summer,2011.0,Casual,United Colors of Benetton Men Printed White Tshirt
40184,Women,Apparel,Topwear,Kurtis,Pink,Summer,2012.0,Ethnic,Mumbai Slang Women Floral Pink Kurti
3021,Men,Apparel,Topwear,Tshirts,Blue,Summer,2011.0,Casual,Lee Men's March Blue T-shirt
43219,Women,Accessories,Watches,Watches,Silver,Winter,2016.0,Casual,Fastrack Women Silver Dial Watch
32618,Men,Apparel,Topwear,Jackets,Black,Summer,2012.0,Sports,Nike Men Black Jacket
11834,Men,Footwear,Shoes,Casual Shoes,Grey,Summer,2013.0,Casual,Playboy Men Casual Grey Casual Shoes
6016,Men,Apparel,Topwear,Shirts,Purple,Summer,2011.0,Casual,Highlander Men Purple White Checked Shirt
35678,Men,Footwear,Shoes,Casual Shoes,Brown,Summer,2013.0,Casual,U.S. Polo Assn. Men Brown Shoes
3100,Men,Apparel,Topwear,Tshirts,Blue,Summer,2011.0,Casual,Probase Men's Spirit Blue T-shirt
6103,Men,Apparel,Topwear,Tshirts,Blue,Summer,2011.0,Casual,UCB Men's Benetton Football Blue T-shirt
11668,Women,Apparel,Topwear,Tshirts,Black,Fall,2011.0,Casual,Lee Women Printed Black Tshirts
1562,Men,Apparel,Topwear,Tshirts,Grey,Fall,2010.0,Sports,Quechua Men Sweat Proof Grey T-shirt
39241,Women,Apparel,Loungewear and Nightwear,Nightdress,Blue,Summer,2017.0,Casual,Femella Women Blue Nightdress
53003,Women,Apparel,Saree,Sarees,Multi,Fall,2012.0,Ethnic,FNF Multi Coloured Printed Sari
56022,Women,Personal Care,Lips,Lipstick,Brown,Spring,2017.0,Casual,Colorbar Flamingo Soft Touch Lipstick 033
30122,Men,Apparel,Topwear,Tshirts,Navy Blue,Summer,2012.0,Casual,Flying Machine Men Printed Navy Blue T-shirt
23464,Men,Accessories,Scarves,Scarves,Black,Winter,2015.0,Casual,Lino Perros Men Black Check Scarf
5054,Men,Footwear,Shoes,Sports Shoes,White,Summer,2011.0,Sports,Fila Men's Swinger White Navy Shoe
4098,Women,Apparel,Topwear,Tshirts,White,Fall,2010.0,Sports,Nike Women's White Polo T-shirt
42619,Women,Accessories,Jewellery,Jewellery Set,Gold,Winter,2015.0,Casual,Estelle Women Earrings & Pendant Set
4142,Men,Footwear,Shoes,Casual Shoes,Black,Summer,2011.0,Casual,Fila Men's Breath Black Red Shoe
12091,Women,Apparel,Topwear,Kurtas,Navy Blue,Fall,2011.0,Ethnic,W Women Printed Navy Blue Kurtas
